Term,Estimate,Est.Error,Q2.5,Q97.5,Prob,Lower,Upper,Model,Meaning,Frequency,Task,Condition
Intercept,-0.014270580666902628,0.31105203034782725,-0.6349499942898134,0.596955409606238,0.496432415377796,0.3463889904892242,0.6449594434299392,original_meaning_freq_prod_model_cond1_no_sil_shoon,original,freq,prod,cond1
Intercept,0.18011002789410685,0.4527653528243548,-0.6634547141025218,1.1455163014179381,0.5449061776035169,0.33996398546716883,0.758690998433803,novel_meaning_freq_prod_model_cond1_no_sil_shoon,novel,freq,prod,cond1
Intercept,0.03327449104666346,0.30872173572791395,-0.5886090380552568,0.6199738478684076,0.5083178553207587,0.3569540691699525,0.6502126006564259,original_meaning_infreq_prod_model_cond1_no_sil_shoon,original,infreq,prod,cond1
Intercept,-0.17798426266420256,0.443885302873614,-1.1218444542357604,0.6604100360825617,0.4556210270890753,0.24566931652776045,0.6593524913537464,novel_meaning_infreq_prod_model_cond1_no_sil_shoon,novel,infreq,prod,cond1
Intercept,0.8172433393064805,0.35962847343898274,0.14357666053490395,1.541004319784373,0.6936508644376816,0.5358326310152105,0.823610676335702,original_meaning_freq_prod_model_cond2_no_sil_shoon,original,freq,prod,cond2
Intercept,-0.542955043413942,1.3392133647333282,-3.2899985951753408,2.0615512287658584,0.36750043200491456,0.03591589452610863,0.8871096128245594,novel_meaning_freq_prod_model_cond2_no_sil_shoon,novel,freq,prod,cond2
Intercept,-0.8131772744376132,0.35895668790302554,-1.5389130655146581,-0.12516547908699613,0.307213851357588,0.17669333862378447,0.4687494182481748,original_meaning_infreq_prod_model_cond2_no_sil_shoon,original,infreq,prod,cond2
Intercept,0.15436554115206802,0.585060220580849,-0.931184822158724,1.4117315801946189,0.5385149355090713,0.28268440161299313,0.8040389156373292,novel_meaning_infreq_prod_model_cond2_no_sil_shoon,novel,infreq,prod,cond2
Intercept,0.6204480389997289,0.5739542194908457,-0.37243342356206305,1.8858203431880813,0.6503204411899187,0.4079531517691081,0.8682782338232327,original_meaning_freq_prod_model_cond3_no_sil_shoon,original,freq,prod,cond3
Intercept,-0.27921818344738614,0.4802721687974571,-1.312284502237943,0.6071022456550295,0.43064545921708713,0.2121048153249701,0.6472795021056122,novel_meaning_freq_prod_model_cond3_no_sil_shoon,novel,freq,prod,cond3
Intercept,-0.6092378150517269,0.5791643624042404,-1.9379104452192066,0.37063557285324633,0.3522330822085607,0.1258775956162976,0.5916125463095205,original_meaning_infreq_prod_model_cond3_no_sil_shoon,original,infreq,prod,cond3
Intercept,-0.633150424142533,0.7245407434461251,-2.3505581592612548,0.5132181298664962,0.34679653230130164,0.08702141719499323,0.6255605757023089,novel_meaning_infreq_prod_model_cond3_no_sil_shoon,novel,infreq,prod,cond3
