meaning,prod_condition,condition,mean_freq_diff_v2,ci2.5,ci97.5
novel,familiar,1,-0.4017455143763605,-0.4504921586269224,-0.3513407183553472
novel,familiar,2,0.8297221301526062,0.7431713475068915,0.9032799668175264
novel,familiar,3,0.42682072668236476,0.33712778794396925,0.489055579383018
novel,novel,1,0.11588834601694911,0.09298438867525605,0.13587243354375594
novel,novel,2,0.36652154887485267,0.3330680027718368,0.3968852175514356
novel,novel,3,0.4718731881501085,0.42202665991484567,0.5021000484256909
original,familiar,1,-0.39308631593307664,-0.44543147877131584,-0.3398322010630258
original,familiar,2,0.8104302542965303,0.7203744033870134,0.8865585782136578
original,familiar,3,0.41537720742456563,0.3238107022216239,0.4775427130673212
original,novel,1,0.124547544460233,0.09819933123187467,0.14696110845944138
original,novel,2,0.3472296730187766,0.3076943238519122,0.38016382894756684
original,novel,3,0.46042966889230935,0.40695339495227045,0.4911716492496152
