training_block.thisN,key_resp_21.rt,prod_image2_location,key_resp_23.rt,key_resp_19.keys,alt_image2_location,key_resp_4.keys,textbox_5.text,pretraining_plus_test.thisN,session,pretraining_loop.ran,stem,participant,file,key_resp_22.keys,key_resp_9.keys,demo_info.thisTrialN,key_resp_3.rt,key_resp_31.rt,textbox_7.text,alt_image2_size,forced_choice_block.thisN,prod_resp.text,__participant,production_block.thisN,production_block.ran,comp_label2_location,consent_resp_5.keys,key_resp_22.rt,key_resp_31.keys,test_loop.thisRepN,comp_image_location,suffix,prod_label,consent_resp_3.keys,consent_resp_2.rt,consent_resp_6.keys,key_resp_9.rt,image1,production_block.thisTrialN,key_resp_4.rt,pretraining_loop.thisN,key_resp_16.keys,key_resp_10.rt,prod_image2,consent_resp_6.rt,psychopyVersion,training_block.thisTrialN,pretraining_loop.thisIndex,production_block.thisIndex,pretraining_plus_test.ran,test_loop.thisIndex,image_size,key_resp_18.keys,consent_resp_4.rt,key_resp_26.rt,pretraining_loop.thisRepN,label,key_resp_20.rt,filepath,pretraining_plus_test.thisIndex,key_resp_3.keys,key_resp_20.keys,test_loop.thisN,prod_image2_size,key_resp_19.rt,training_block.thisRepN,frameRate,prod_condition,label1,pretraining,image_location,demo_info.ran,key_resp_23.keys,production_block.thisRepN,alt_image2,key_resp_15.keys,key_resp_16.rt,demo_info.thisIndex,key_resp_27.keys,alt_image1_location,comp_label1_location,suffix1,key_resp_21.keys,textbox_10.text,__session,key_resp_17.rt,demo_info.thisRepN,key_resp_13.rt,experiment_start_resp.rt,key_resp_11.rt,pretraining_loop.thisTrialN,alt_image1_size,training_block.thisIndex,key_resp_26.keys,forced_choice_block.thisTrialN,key_resp_28.rt,key_resp_14.keys,key_resp_30.rt,key_resp_29.keys,__datetime,consent_resp_5.rt,comp_condition_suffix,OS,comp_condition_stem,__experimentName,key_resp_13.keys,consent_resp_2.keys,key_resp_15.rt,key_resp_14.rt,key_resp_30.keys,experiment_start_resp.keys,pretraining_plus_test.thisRepN,stem_filename,label2,key_resp_27.rt,training_block.ran,comp_image,date,textbox_6.text,textbox_9.text,key_resp_10.keys,key_resp_29.rt,condition,key_resp_28.keys,test_loop.ran,alt_image1,consent_resp_3.rt,demo_info.thisN,consent_resp.rt,forced_choice_block.ran,forced_choice_block.thisRepN,comp_image_size,consent_resp_4.keys,key_resp_5.keys,pretraining_plus_test.thisTrialN,expName,suffix2,key_resp_5.rt,test_loop.thisTrialN,key_resp_18.rt,consent_resp.keys,forced_choice_block.thisIndex,key_resp_11.keys,key_resp_17.keys,textbox.text,prod_image1
﻿,,,,,,,,,001,,,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,,,,,,,,,,,,,,,,,,58.8235294117647,,,0,,,,,,,,,,,,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,,,,6,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,nako,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,0,,,,,2022.2.5,,3,,,,"['0.35', '0.35']",,,,0,nako,"[2.5819999999999936,2.740999999999996,2.8549999999999933,2.960999999999995,4.949999999999996]",stems_all/4.PNG,,,"[""n"",""a"",""k"",""o"",""return""]",,,,,58.8235294117647,,,,,,,,,,,,,,,,,,001,,,,,,0,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,nako,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,bal,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,1,,,,,2022.2.5,,0,,,,"['0.35', '0.35']",,,,0,bal,"[2.3550000000000004,2.511000000000003,2.594000000000001,7.719000000000005]",stems_all/1.PNG,,,"[""b"",""a"",""l"",""return""]",,,,,58.8235294117647,,,,,,,,,,,,,,,,,,001,,,,,,1,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,bal,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,berko,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,2,,,,,2022.2.5,,1,,,,"['0.35', '0.35']",,,,0,berko,"[2.2240000000000073,2.8779999999999966,3.203999999999997,3.311999999999994,3.521999999999995,3.5909999999999975,3.716999999999995,4.127999999999997]",stems_all/2.PNG,,,"[""w"",""backspace"",""b"",""e"",""r"",""k"",""o"",""return""]",,,,,58.8235294117647,,,,,,,,,,,,,,,,,,001,,,,,,2,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,berko,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,,,,,,,,,001,1,kora,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,3,,,,,2022.2.5,,2,,,,"['0.35', '0.35']",,,,0,kora,"[1.2779999999999987,1.6409999999999982,1.8960000000000008,2.0080000000000027,2.152000000000001,2.5219999999999985,2.711999999999996,2.902000000000001,3.246000000000002,3.3810000000000002,3.442999999999998,3.695999999999998,3.783999999999999]",stems_all/3.PNG,,,"[""k"",""backspace"",""n"",""a"",""k"",""backspace"",""backspace"",""backspace"",""k"",""o"",""r"",""a"",""return""]",,,,,58.8235294117647,,,,,,,,,,,,,,,,,,001,,,,,,3,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,kora,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,,,,
﻿,2.9649999999999963,,,,,,,,001,,kora,332893,,return,,,,,,,,,332893,,,,,2.6069999999999993,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,2,"['0.35', '0.35']",,,,,kora,,stems_all/3.PNG,,,,0,,,,58.8235294117647,,,,,,,,,,,,,,,,return,"kora
",001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,1,,,,,,,,,,,generalizability_mini,,,0,,,,,,,
﻿,2.2339999999999876,,,,,,,,001,,nako,332893,,,,,,,,,,,332893,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,3,"['0.35', '0.35']",,,,,nako,,stems_all/4.PNG,,,,1,,,,58.8235294117647,,,,,,,,,,,,,,,,return,"nako
",001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,1,,,,,,,,,,,generalizability_mini,,,1,,,,,,,
﻿,2.064,,,,,,,,001,,berko,332893,,,,,,,,,,,332893,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,1,"['0.35', '0.35']",,,,,berko,,stems_all/2.PNG,,,,2,,,,58.8235294117647,,,,,,,,,,,,,,,,return,"berko
",001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,1,,,,,,,,,,,generalizability_mini,,,2,,,,,,,
﻿,3.4239999999999995,,,,,,,,001,,bal,332893,,,,,,,,,,,332893,,,,,,,0,,,,,,,,,,,,,,,,2022.2.5,,,,,0,"['0.35', '0.35']",,,,,bal,,stems_all/1.PNG,,,,3,,,,58.8235294117647,,,,,,,,,,,,,,,,return,"chool
",001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,,,,,,,2024-03-04_11h11.45.238,,,,,,,1,,,,,,,,,,,generalizability_mini,,,3,,,,,,,
﻿,,,2.547000000000004,,,,,0,001,,,332893,,,,,,,,,,,332893,,,,,,,,,,,,,,,,,,,,,,,2022.2.5,,,,1,,,,,,,,,,0,,,,,,,58.8235294117647,,,,,,return,,,,,,,,,,,,001,,,,,,,,,,,,,,,2024-03-04_11h11.30.277,,,MacIntel,,generalizability_mini,,,,,,,0,,,,,,2024-03-04_11h11.45.238,,,,,,,,,,,,,,,,,0,generalizability_mini,,,,,,,,,,
