condition,randomizer.started,randomizer.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,begin_exp.started,begin_exp.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,consent.started,consent.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,consent2.started,consent2.stopped,consent_resp_2.keys,consent_resp_2.rt,consent_resp_2.duration,consent3.started,consent3.stopped,consent_resp_3.keys,consent_resp_3.rt,consent_resp_3.duration,consent4.started,consent4.stopped,consent_resp_4.keys,consent_resp_4.rt,consent_resp_4.duration,consent5.started,consent5.stopped,consent_resp_5.keys,consent_resp_5.rt,consent_resp_5.duration,consent6.started,consent6.stopped,consent_resp_6.keys,consent_resp_6.rt,consent_resp_6.duration,demographic_questions.started,demographic_questions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,demo_age.started,demo_age.stopped,textbox.text,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,demo_native_lang.started,demo_native_lang.stopped,textbox_5.text,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,demo_other_langs.started,demo_other_langs.stopped,textbox_6.text,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,demo_info.thisRepN,demo_info.thisTrialN,demo_info.thisN,demo_info.thisIndex,demo_info.ran,instructions.started,instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,begin_experiment.started,begin_experiment.stopped,experiment_start_resp.keys,experiment_start_resp.rt,experiment_start_resp.duration,training.started,training.stopped,textbox_7.text,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,training_2.started,training_2.stopped,clear_screen.started,clear_screen.stopped,training_block.thisRepN,training_block.thisTrialN,training_block.thisN,training_block.thisIndex,training_block.ran,stem,suffix,label,stem_filename,file,filepath,image_size,image_location,audio_files,which_condition.thisRepN,which_condition.thisTrialN,which_condition.thisN,which_condition.thisIndex,which_condition.ran,which_condition.order,select_condition,training_block.order
5,0.0002,0.0003,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,0.0013,5.8315,space,5.8254,,5.8315,10.8362,space,4.9859,,10.8363,30.7463,space,19.9026,,30.7464,97.611,space,66.8582,,97.611,105.2369,space,7.62,,105.2369,108.3375,space,3.0933,,108.3375,112.7778,space,4.4345,,112.7778,119.7831,space,6.9915,,119.7832,125.2815,18,return,5.4828,,125.2816,130.6211,English,return,5.3316,,130.6212,134.4162,,return,3.7881,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4165,147.4027,return,10.9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4028,153.3181,return,5.9085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.3217,157.822,,"[""j"",""o"",""r"",""a"",""N/A"",""N/A"",""N/A"",""N/A""]","[3.0960000000000036,3.1711000000001093,3.3445000000000107,3.4676000000000897,3.7507999999998276,4.058600000000098,4.210200000000185,4.415999999999997]","[null,null,null,null,null,null,null,null]",157.8223,158.3228,158.3229,158.8198,0,0,0,9,1,kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,,,zara_audio_files/koranem.wav,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8201,163.3193,berk,"[""r"",""b"",""e"",""r"",""k""]","[0.006600000000076989,3.3828999999998928,3.539999999999992,3.6553999999999007,4.015100000000075]","[null,null,null,null,null]",163.3193,163.8166,163.8166,164.3169,0,1,1,6,1,berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,,,zara_audio_files/berkonem.wav,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.3172,168.8146,kord,"[""k"",""o"",""r"",""d""]","[3.765000000000015,3.8285000000000196,3.9513999999999214,4.189000000000021]","[null,null,null,null]",168.8146,169.3113,169.3113,169.8082,0,2,2,14,1,kora,dan,koradan,3,3_2.PNG,stems_all/3_2.PNG,,,zara_audio_files/koradan.wav,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.8083,174.3085,,,,,174.3085,174.8087,174.8087,175.3055,0,3,3,0,1,bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balnem.wav,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.306,179.8032,,,,,179.8032,180.2996,180.2996,180.7966,0,4,4,2,1,bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,,,zara_audio_files/balnem.wav,,,,,,,,
,,,60594,001,2025-01-20_16h33.36.057,generalizability_mini,2023.2.2,Win32,166.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.7968,185.2942,berk,"[""b"",""e"",""r"",""k""]","[3.817399999999907,3.9873999999998944,4.10929999999982,4.417199999999724]","[null,null,null,null]",185.2942,185.7909,185.7909,186.2879,0,5,5,16,1,berko,sil,berkosil,2,2_2.PNG,stems_all/2_2.PNG,,,zara_audio_files/berkosil.wav,,,,,,,,
