fc_flash.started,key_resp_11.rt,key_resp_17.rt,key_resp_11.keys,key_resp_17.keys,comp_image_size,comp_label1_location,key_resp_30.keys,end.stopped,consent6.started,forced_choice_block.thisRepN,prod_image1,condition,training_block.thisIndex,image2_label,consent3.stopped,image_size,image1_label,suffix,key_resp_16.rt,consent.started,demographic_questions.stopped,suffix2,mouse.leftButton,debriefing2.started,fc_pre.started,experiment_start_resp.rt,comprehension_loop.thisRepN,consent6.stopped,begin_experiment.started,training.started,key_resp_3.keys,mouse.y,stem_condition,key_resp_9.keys,consent.stopped,training_block.thisN,prod_image2,psychopyVersion,key_resp_16.keys,key_resp_18.rt,comprehension_four_images.started,alt_image2_location,key_resp_15.rt,consent2.stopped,comp_condition_suffix,key_resp_13.keys,stem,prod_image2_location,label,consent_resp_6.rt,consent3.started,demo_age.started,debriefing1.stopped,debriefing3.stopped,comp_inst.stopped,demo_age.stopped,consent_resp.keys,comprehension_loop.thisN,key_resp_19.rt,mouse.midButton,key_resp_27.rt,debriefing0.stopped,demo_info.ran,comprehension_loop.ran,image3,training_block.thisTrialN,prod_four_images.stopped,image1,comprehension_instructions.started,prod_inst_2.stopped,comp_image_location,key_resp_33.keys,demo_other_langs.started,textbox.text,forced_choice.stopped,demo_native_lang.stopped,demo_info.thisIndex,prod_pre.started,OS,consent_resp_4.rt,consent_resp_3.rt,mouse.time,key_resp_9.rt,comp_instructions_cont.started,clear_screen.started,consent5.stopped,key_resp_14.rt,key_resp_18.duration,mouse.x,demo_native_lang.started,prod_image2_size,production_block.thisRepN,key_resp_18.keys,key_resp_28.keys,forced_choice_block.ran,comprehension_instructions.stopped,key_resp_29.rt,image4_label,consent_resp_4.keys,randomizer.stopped,forced_choice_block.thisIndex,blank_trial.started,demo_info.thisTrialN,consent_resp_2.rt,consent_resp_2.keys,prod_label,demo_info.thisN,production_block.ran,debriefing2.stopped,image3_label,image4,training_2.stopped,comprehension_loop.thisIndex,instructions.stopped,key_resp_14.keys,big_image_flash.started,consent_resp_5.rt,training_block.ran,key_resp_30.rt,file,__session,prod_four_images.started,randomizer.started,alt_image2,alt_image1_location,comprehension_four_images.stopped,consent4.started,prod_inst_2.started,image2,forced_choice_block.thisTrialN,prod_condition,key_resp_10.rt,forced_choice_block.thisN,consent2.started,fc_pre.stopped,production_block.thisTrialN,training.stopped,comprehension_label,training_2.started,debriefing1.started,production.stopped,experiment_start_resp.keys,consent4.stopped,label2,key_resp_27.keys,clear_screen.stopped,__datetime,alt_image1,prod_resp.text,date,prod_instr.started,big_image_flash.stopped,production_block.thisN,big_image_flash_fc.started,mouse.clicked_name,production_block.thisIndex,comp_instructions_cont.stopped,fc_flash.stopped,demo_other_langs.stopped,key_resp_19.keys,consent_resp.rt,textbox_6.text,prod_pre.stopped,demographic_questions.started,forced_choice.started,key_resp_4.rt,stem_filename,label1,blank_trial.stopped,instructions.started,big_image_flash_fc.stopped,alt_image2_size,mouse.rightButton,prod_instr.stopped,textbox_5.text,key_resp_4.keys,key_resp_31.keys,key_resp_15.keys,expName,key_resp_5.rt,suffix1,training_block.thisRepN,comp_image,consent_resp_5.keys,key_resp_28.rt,session,end.started,__experimentName,consent_resp_6.keys,textbox_7.text,production.started,alt_image1_size,key_resp_29.keys,consent5.started,debriefing3.started,comp_condition_stem,comp_inst.started,demo_info.thisRepN,frameRate,audio_files,filepath,__participant,debriefing0.started,key_resp_13.rt,comprehension_loop.thisTrialN,key_resp_5.keys,image_location,key_resp_3.rt,key_resp_31.rt,comp_label2_location,key_resp_33.rt,begin_exp.started,consent_resp_3.keys,key_resp_10.keys,begin_experiment.stopped,participant,begin_exp.stopped
﻿,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,0.0012000000029814828,,,,,,,,,,,,,,,,,,,,,001,,0.0008000000119210426,,,,,,,,,,,,,,,,,,,,,,,,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,001,,generalizability_experiment_v3,,,,,,,,,,,116.27906976736315,,,501168,,,,,,,,,,,,,,60472,
﻿,2.0658999999910606,,space,,,,,,7.590100000008938,,,,,,6.425400000005958,,,,,2.11640000000596,10.720700000002985,,,,,,,7.9780000000000015,,,space,,,return,4.2975000000000065,,,2023.2.2,,,,,,5.325499999999998,,,,,,0.3640999999940391,5.325900000005966,10.721100000008938,,,,16.637600000008938,space,,,,,,1,,,,,,,,,,19.85740000000596,20,,19.857200000002983,0,,Win32,0.6764000000059553,1.0742999999970237,,3.188299999997028,,,7.5899000000059615,,,,16.637900000005963,,,,,,,,,space,,,,0,1.007100000008947,space,,0,,,,,,,,,,0.43599999999999284,,,,001,,,,,,6.425700000002983,,,,,3.4299999999999997,,4.298100000008937,,,,,,,,,7.126600000008942,,,,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,23.31030000001192,,2.148999999999994,none,,7.978400000005969,,,,,,,,,,,english,,,,generalizability_mini,5.834299999997015,,,,space,,001,,generalizability_experiment_v3,space,,,,,7.127200000002979,,,,0,116.27906976736315,,,501168,,,,return,,2.6783999999910577,,,,0.004900000005960692,space,return,,60472,2.1162000000029835
﻿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.29620000000297,,,,,,,001,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,1.9533999999910634,,,,23.310800000011923,,,,,,return,,,generalizability_mini,,,,,,,001,,generalizability_experiment_v3,,,,,,,,,,,116.27906976736315,,,501168,,,,,,,,,,,,,,60472,
﻿,,,,,,,,,,,,,,,,,,,,,,,,,,3.66279999999702,,,27.29630000001191,,,,,,,,,2023.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Win32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,,,,,,,,,,,,,,return,,,,,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generalizability_mini,,,,,,,001,,generalizability_experiment_v3,,,,,,,,,,,116.27906976736315,,,501168,,,,,,,,,,,,,30.979300000011918,60472,
﻿,,,,,,,,,,,,,8,,,"['0.20', '0.20']",,nem,,,,,,,,,,,,30.988200000002976,,,,,,0,,2023.2.2,,"[3.4555999999940354,3.857899999991048,4.27319999998808]",,,,,,,osto,,ostonem,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Win32,,,,,,35.983999999999995,,,"[null,null,null]",,,,,"[""s"",""t"",""o""]",,,,,,,,,,,,,,,,,,,35.98349999999999,,,,,,1,,9_dim_sg.PNG,001,,,,,,,,,,,,,,,,35.48649999999999,,35.48730000001191,,,,,,,36.485,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,generalizability_mini,,,0,,,,001,,generalizability_experiment_v3,,sto,,,,,,,,,116.27906976736315,zara_audio_files/ostonem.wav,stems_all/9_dim_sg.PNG,501168,,,,,"['0.2', '0.22']",,,,,,,,,60472,
﻿,,,,,,,,,,,,,28,,,"['0.20', '0.20']",,shoon,,,,,,,,,,,,36.485900000005955,,,,,,1,,2023.2.2,,"[2.5150999999940353,2.65119999998808,2.7693999999910517,2.919799999997011,3.2964999999999947,3.459699999988075,3.6891999999880767,3.8149999999999977,3.9200999999940365]",,,,,,,berko,,berkoshoon,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Win32,,,,,,41.4875,,,"[null,null,null,null,null,null,null,null,null]",,,,,"[""b"",""e"",""r"",""k"",""s"",""h"",""o"",""o"",""n""]",,,,,,,,,,,,,,,,,,,41.4875,,,,,,1,,2_dim_sg.PNG,001,,,,,,,,,,,,,,,,40.9855,,40.98560000000893,,,,,,,41.9915,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,generalizability_mini,,,0,,,,001,,generalizability_experiment_v3,,berkshoon,,,,,,,,,116.27906976736315,zara_audio_files/berkoshoon.wav,stems_all/2_dim_sg.PNG,501168,,,,,"['0.2', '0.22']",,,,,,,,,60472,
﻿,,,,,,,,,,,,,25,,,"['0.35', '0.35']",,sil,,,,,,,,,,,,41.99220000000298,,,,,,2,,2023.2.2,,"[3.0597999999970114,3.199700000002977,3.346999999999994,3.5294999999999987,4.18249999999999,4.463200000002971]",,,,,,,berko,,berkosil,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,Win32,,,,,,46.98390000000596,,,"[null,null,null,null,null,null]",,,,,"[""b"",""e"",""r"",""k"",""o"",""s""]",,,,,,,,,,,,,,,,,,,46.98380000001191,,,,,,1,,2_2.PNG,001,,,,,,,,,,,,,,,,46.49030000001191,,46.490800000011916,,,,,,,47.48440000000596,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,generalizability_mini,,,0,,,,001,,generalizability_experiment_v3,,berkos,,,,,,,,,116.27906976736315,zara_audio_files/berkosil.wav,stems_all/2_2.PNG,501168,,,,,"['-0.2', '-0.18']",,,,,,,,,60472,
﻿,,,,,,,,,,,,,15,,,"['0.35', '0.35']",,dan,,,,,,,,,,,,47.48510000000894,,,,,,3,,2023.2.2,,"[2.307000000000002,2.4140000000000015,2.553400000005965,2.701299999997019,2.782299999997022,2.8591000000089366,3.480700000002983]",,,,,,,bal,,baldan,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,Win32,,,,,,51.47999999999999,,,"[null,null,null,null,null,null,null]",,,,,"[""b"",""a"",""l"",""d"",""a"",""n"",""return""]",,,,,,,,,,,,,,,,,,,51.479900000005955,,,,,,1,,1_2.PNG,001,,,,,,,,,,,,,,,,50.983999999999995,,50.98440000000596,,,,,,,51.97130000001192,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,generalizability_mini,,,0,,,,001,,generalizability_experiment_v3,,baldan,,,,,,,,,116.27906976736315,zara_audio_files/baldan.wav,stems_all/1_2.PNG,501168,,,,,"['-0.2', '-0.18']",,,,,,,,,60472,
﻿,,,,,,,,,,,,,9,,,"['0.20', '0.20']",,nem,,,,,,,,,,,,51.97230000001191,,,,,,4,,2023.2.2,,"[2.3955999999940474,2.510799999997033,2.6950000000000074,2.8028999999910695,3.003299999997026,3.147399999991066,3.380299999997021,3.570399999991068]",,,,,,,vorke,,vorkenem,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,Win32,,,,,,56.99180000001192,,,"[null,null,null,null,null,null,null,null]",,,,,"[""v"",""o"",""r"",""k"",""e"",""n"",""e"",""m""]",,,,,,,,,,,,,,,,,,,56.99170000000298,,,,,,1,,10_dim_sg.PNG,001,,,,,,,,,,,,,,,,56.48020000000298,,56.48030000001192,,,,,,,57.47960000000894,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,generalizability_mini,,,0,,,,001,,generalizability_experiment_v3,,vorkenem,,,,,,,,,116.27906976736315,zara_audio_files/vorkenem.wav,stems_all/10_dim_sg.PNG,501168,,,,,"['0.2', '0.22']",,,,,,,,,60472,
﻿,,,,,,,,,,,,,26,,,"['0.35', '0.35']",,sil,,,,,,,,,,,,57.480600000008934,,,,,,5,,2023.2.2,,"[2.254399999991051,2.4479999999999933,2.5672999999970187,2.7950000000000017,3.15179999999701,3.3228999999910513,3.491599999994037,3.8215000000000003]",,,,,,,kora,,korasil,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,Win32,,,,,,61.81810000000894,,,"[null,null,null,null,null,null,null,null]",,,,,"[""k"",""o"",""r"",""a"",""s"",""i"",""l"",""return""]",,,,,,,,,,,,,,,,,,,61.818,,,,,,1,,3_2.PNG,001,,,,,,,,,,,,,,,,61.31910000000893,,61.31930000001192,,,,,,,62.312,2025-01-23_11h06.53.786,,,2025-01-23_11h07.36.502,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,generalizability_mini,,,0,,,,001,,generalizability_experiment_v3,,korasil,,,,,,,,,116.27906976736315,zara_audio_files/korasil.wav,stems_all/3_2.PNG,501168,,,,,"['-0.2', '-0.18']",,,,,,,,,60472,
