weights,Stem,Meaning,Frequency,row_number,label
0.16,Familiar,Original,Frequent,1,Original Frequent
0.26454999999999995,Familiar,Original,Frequent,2,Original Frequent
0.30653650000000005,Familiar,Original,Frequent,3,Original Frequent
0.36806402,Familiar,Original,Frequent,4,Original Frequent
0.40412504480000006,Familiar,Original,Frequent,5,Original Frequent
0.420361348638,Familiar,Original,Frequent,6,Original Frequent
0.46391789187520005,Familiar,Original,Frequent,7,Original Frequent
0.5016334037117471,Familiar,Original,Frequent,8,Original Frequent
0.5240620250915089,Familiar,Original,Frequent,9,Original Frequent
0.5750377143594292,Familiar,Original,Frequent,10,Original Frequent
0.5757968645890674,Familiar,Original,Frequent,11,Original Frequent
0.5842339417091045,Familiar,Original,Frequent,12,Original Frequent
0.5996401238583822,Familiar,Original,Frequent,13,Original Frequent
0.6192184213715372,Familiar,Original,Frequent,14,Original Frequent
0.6381210598682528,Familiar,Original,Frequent,15,Original Frequent
0.6514551973029439,Familiar,Original,Frequent,16,Original Frequent
0.6168615241082164,Familiar,Original,Frequent,17,Original Frequent
0.6227779254136335,Familiar,Original,Frequent,18,Original Frequent
0.6272054814070493,Familiar,Original,Frequent,19,Original Frequent
0.6450756364415555,Familiar,Original,Frequent,20,Original Frequent
0.6539532375819002,Familiar,Original,Frequent,21,Original Frequent
0.6817385596445046,Familiar,Original,Frequent,22,Original Frequent
0.6928312215876951,Familiar,Original,Frequent,23,Original Frequent
0.6887401958967728,Familiar,Original,Frequent,24,Original Frequent
0.703251144708166,Familiar,Original,Frequent,25,Original Frequent
0.7150875762361922,Familiar,Original,Frequent,26,Original Frequent
0.6921142726063607,Familiar,Original,Frequent,27,Original Frequent
0.7117663578365658,Familiar,Original,Frequent,28,Original Frequent
0.6975368416733441,Familiar,Original,Frequent,29,Original Frequent
0.6727470297800588,Familiar,Original,Frequent,30,Original Frequent
0.689519024358033,Familiar,Original,Frequent,31,Original Frequent
0.6988152991830039,Familiar,Original,Frequent,32,Original Frequent
0.6914751669753314,Familiar,Original,Frequent,33,Original Frequent
0.7087940115109144,Familiar,Original,Frequent,34,Original Frequent
0.7313791616303499,Familiar,Original,Frequent,35,Original Frequent
0.7496412624793513,Familiar,Original,Frequent,36,Original Frequent
0.7315710955666089,Familiar,Original,Frequent,37,Original Frequent
0.7262411923402683,Familiar,Original,Frequent,38,Original Frequent
0.7145449205674741,Familiar,Original,Frequent,39,Original Frequent
0.7057696654435616,Familiar,Original,Frequent,40,Original Frequent
0.6990649280745523,Familiar,Original,Frequent,41,Original Frequent
0.7015106200098655,Familiar,Original,Frequent,42,Original Frequent
0.708274401796621,Familiar,Original,Frequent,43,Original Frequent
0.7056472187106458,Familiar,Original,Frequent,44,Original Frequent
0.7288944042600481,Familiar,Original,Frequent,45,Original Frequent
0.7283913322661661,Familiar,Original,Frequent,46,Original Frequent
0.7276326912700396,Familiar,Original,Frequent,47,Original Frequent
0.7101706934588621,Familiar,Original,Frequent,48,Original Frequent
0.7110458884926144,Familiar,Original,Frequent,49,Original Frequent
0.7103918227221746,Familiar,Original,Frequent,50,Original Frequent
0.7076079540499739,Familiar,Original,Frequent,51,Original Frequent
0.7035335561507248,Familiar,Original,Frequent,52,Original Frequent
0.7003444017415463,Familiar,Original,Frequent,53,Original Frequent
0.6991618326587333,Familiar,Original,Frequent,54,Original Frequent
0.6864395889783765,Familiar,Original,Frequent,55,Original Frequent
0.6896711701099887,Familiar,Original,Frequent,56,Original Frequent
0.6793384464036198,Familiar,Original,Frequent,57,Original Frequent
0.7084803485404473,Familiar,Original,Frequent,58,Original Frequent
0.7049397350684958,Familiar,Original,Frequent,59,Original Frequent
0.7235084539261009,Familiar,Original,Frequent,60,Original Frequent
0.7041498920520568,Familiar,Original,Frequent,61,Original Frequent
0.7098688289668378,Familiar,Original,Frequent,62,Original Frequent
0.7187808183320793,Familiar,Original,Frequent,63,Original Frequent
0.7051639541907004,Familiar,Original,Frequent,64,Original Frequent
0.7101891516210597,Familiar,Original,Frequent,65,Original Frequent
0.7168293291518918,Familiar,Original,Frequent,66,Original Frequent
0.7287555607402862,Familiar,Original,Frequent,67,Original Frequent
0.6729516281848892,Familiar,Original,Frequent,68,Original Frequent
0.680545173188727,Familiar,Original,Frequent,69,Original Frequent
0.6826662273908201,Familiar,Original,Frequent,70,Original Frequent
0.718285462956476,Familiar,Original,Frequent,71,Original Frequent
0.7181376398763366,Familiar,Original,Frequent,72,Original Frequent
0.7187111688996107,Familiar,Original,Frequent,73,Original Frequent
0.7537611717007325,Familiar,Original,Frequent,74,Original Frequent
0.744520305926189,Familiar,Original,Frequent,75,Original Frequent
0.7522617543379578,Familiar,Original,Frequent,76,Original Frequent
0.751731453960248,Familiar,Original,Frequent,77,Original Frequent
0.7479696178046624,Familiar,Original,Frequent,78,Original Frequent
0.7536783986067104,Familiar,Original,Frequent,79,Original Frequent
0.7533657320112782,Familiar,Original,Frequent,80,Original Frequent
0.748109533513547,Familiar,Original,Frequent,81,Original Frequent
0.7540009554333225,Familiar,Original,Frequent,82,Original Frequent
0.7607920913740768,Familiar,Original,Frequent,83,Original Frequent
0.7303483139804086,Familiar,Original,Frequent,84,Original Frequent
0.7547655413698406,Familiar,Original,Frequent,85,Original Frequent
0.7610196492041419,Familiar,Original,Frequent,86,Original Frequent
0.769090489984958,Familiar,Original,Frequent,87,Original Frequent
0.7677327171041631,Familiar,Original,Frequent,88,Original Frequent
0.7638975087574761,Familiar,Original,Frequent,89,Original Frequent
0.7596219132574876,Familiar,Original,Frequent,90,Original Frequent
0.7448086247222857,Familiar,Original,Frequent,91,Original Frequent
0.7671114884585226,Familiar,Original,Frequent,92,Original Frequent
0.7593942823716312,Familiar,Original,Frequent,93,Original Frequent
0.7375420655222583,Familiar,Original,Frequent,94,Original Frequent
0.7388454464832868,Familiar,Original,Frequent,95,Original Frequent
0.7222032674454242,Familiar,Original,Frequent,96,Original Frequent
0.7333489710701373,Familiar,Original,Frequent,97,Original Frequent
0.7191137930451394,Familiar,Original,Frequent,98,Original Frequent
0.7188360365243992,Familiar,Original,Frequent,99,Original Frequent
0.7480762647826146,Familiar,Original,Frequent,100,Original Frequent
0.7510135315036643,Familiar,Original,Frequent,101,Original Frequent
0.7500029984499603,Familiar,Original,Frequent,102,Original Frequent
0.7612158921449603,Familiar,Original,Frequent,103,Original Frequent
0.7628616088519036,Familiar,Original,Frequent,104,Original Frequent
0.7786662600818932,Familiar,Original,Frequent,105,Original Frequent
0.7945214090230026,Familiar,Original,Frequent,106,Original Frequent
0.7745598492123734,Familiar,Original,Frequent,107,Original Frequent
0.7748760223830579,Familiar,Original,Frequent,108,Original Frequent
0.7736146889105361,Familiar,Original,Frequent,109,Original Frequent
0.77724755494586,Familiar,Original,Frequent,110,Original Frequent
0.771164278443775,Familiar,Original,Frequent,111,Original Frequent
0.7721528264405118,Familiar,Original,Frequent,112,Original Frequent
0.7622201834056089,Familiar,Original,Frequent,113,Original Frequent
0.7535056513038659,Familiar,Original,Frequent,114,Original Frequent
0.7329901243029568,Familiar,Original,Frequent,115,Original Frequent
0.7352022821129933,Familiar,Original,Frequent,116,Original Frequent
0.7444187677962363,Familiar,Original,Frequent,117,Original Frequent
0.7472820253821977,Familiar,Original,Frequent,118,Original Frequent
0.7255464386244792,Familiar,Original,Frequent,119,Original Frequent
0.7332416397215212,Familiar,Original,Frequent,120,Original Frequent
0.7203310797244113,Familiar,Original,Frequent,121,Original Frequent
0.7300703338345826,Familiar,Original,Frequent,122,Original Frequent
0.7329185226474084,Familiar,Original,Frequent,123,Original Frequent
0.7321405121581281,Familiar,Original,Frequent,124,Original Frequent
0.7168731096505001,Familiar,Original,Frequent,125,Original Frequent
0.7363853357093444,Familiar,Original,Frequent,126,Original Frequent
0.7629376181634799,Familiar,Original,Frequent,127,Original Frequent
0.7663050798439176,Familiar,Original,Frequent,128,Original Frequent
0.744259425302371,Familiar,Original,Frequent,129,Original Frequent
0.7434440410008791,Familiar,Original,Frequent,130,Original Frequent
0.7418325813799787,Familiar,Original,Frequent,131,Original Frequent
0.7335435810321516,Familiar,Original,Frequent,132,Original Frequent
0.755800742660528,Familiar,Original,Frequent,133,Original Frequent
0.7520684527079136,Familiar,Original,Frequent,134,Original Frequent
0.7175503368310528,Familiar,Original,Frequent,135,Original Frequent
0.7291940513551883,Familiar,Original,Frequent,136,Original Frequent
0.7402741728731713,Familiar,Original,Frequent,137,Original Frequent
0.7200469020835675,Familiar,Original,Frequent,138,Original Frequent
0.7133584925572292,Familiar,Original,Frequent,139,Original Frequent
0.7129917173170173,Familiar,Original,Frequent,140,Original Frequent
0.7168942185929406,Familiar,Original,Frequent,141,Original Frequent
0.7182606397890003,Familiar,Original,Frequent,142,Original Frequent
0.7381194425383116,Familiar,Original,Frequent,143,Original Frequent
0.7390771968526483,Familiar,Original,Frequent,144,Original Frequent
0.7423385675468068,Familiar,Original,Frequent,145,Original Frequent
0.7440046824256411,Familiar,Original,Frequent,146,Original Frequent
0.7453108449345174,Familiar,Original,Frequent,147,Original Frequent
0.6986168979842664,Familiar,Original,Frequent,148,Original Frequent
0.7397986626012427,Familiar,Original,Frequent,149,Original Frequent
0.7170148806013976,Familiar,Original,Frequent,150,Original Frequent
0.718891551781122,Familiar,Original,Frequent,151,Original Frequent
0.7199321613330608,Familiar,Original,Frequent,152,Original Frequent
