"participant","date","condition","stem","img2","stem_cond","resp","picture_meaning","classification","corrected_suffix","combination"
"021648","2025-03-03_12h52.36.250",NA,"bal","stems_all/1_dim_pl.PNG","familiar","bal","dim_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"kora","stems_all/3_dim_pl.PNG","familiar","kora","dim_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"shinti","stems_all/14_2.PNG","novel","shinti","big_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"berko","stems_all/2_dim_sg.PNG","familiar","berko","dim_sg","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"pil","stems_all/13_dim_sg.PNG","novel","pil","dim_sg","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"shinti","stems_all/14_dim_sg.PNG","novel","shinti","dim_sg","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"pil","stems_all/13_2.PNG","novel","pil","big_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"mero","stems_all/12_2.PNG","novel","mero","big_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"bal","stems_all/1_dim_sg.PNG","familiar","bal","dim_sg","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"kora","stems_all/3_dim_sg.PNG","familiar","pil","dim_sg","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"bal","stems_all/1_2.PNG","familiar","berko","big_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"mero","stems_all/12_dim_pl.PNG","novel","mero","dim_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"berko","stems_all/2_2.PNG","familiar","merj","big_pl","omit",NA,0
"021648","2025-03-03_12h52.36.250",NA,"berko","stems_all/2_dim_pl.PNG","familiar","pil","dim_pl","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"mero","stems_all/12_dim_sg.PNG","novel","mero","dim_sg","omission",NA,0
"021648","2025-03-03_12h52.36.250",NA,"pil","stems_all/13_dim_pl.PNG","novel","shinti","dim_pl","omission",NA,0
