1,Response ID,SpeakingProficiency,ListeningProficiency,WritingProficiency,ReadingProficiency,Frequency,HomeDomain,CommunityDomain,OnlineDomain,WorshipDomain,AssociationExistence,AssociationMembership,GoansInArea,MediaConsumptionFrequency,GoanPartner,GoanParent,Place of Birth,LOR,PriorEnglish,FirstLanguage,Religion,Education,SentimentalAttitudes,InstrumentalAttitudes,Ideology
2,R_1o0DeiiMeW0KdKf,9,10,7,7,A few times a week,1,0,6,0,Unsure,No,50-100,2,Yes,Both Parents,Goa,19,Yes,"Konkani, Marathi",Hindu,Graduate or professional degree,Neither agree nor disagree,Strongly agree,Strongly agree
3,R_22tNcPKd6WV7Pb4,3,3,0,1,A few times a year,0,0,0,0,Yes,Yes,200,4,No,Both Parents,India,25,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
4,R_4IWlYPpj04a5eA9,0,0,0,0,A few times a year,0,1,0,0,Yes,No,10-50,1,NA,Both Parents,Pakistan,46,Yes,English,Catholic,Some college or postsecondary training,Somewhat agree,Somewhat agree,Strongly agree
5,R_1FfXDK88wOcC8bB,10,10,10,10,Everyday,10,7,8,0,No,No,0-10,9,Yes,Both Parents,Goa,2,Yes,Konkani,Hindu,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
6,R_1GnvDcXm5OKKHKN,8,9,3,6,Everyday,10,0,7,0,Yes,Yes,50-100,0,NA,Both Parents,Goa,10,Yes,English,Catholic,Some college or postsecondary training,Strongly agree,Strongly agree,Strongly agree
7,R_28J8HoxkLM9uMWb,10,10,7,7,Everyday,10,1,10,0,Yes,Yes,10-50,1,No,Both Parents,Goa,11,Yes,English,Hindu,Graduate or professional degree,Neither agree nor disagree,Somewhat agree,Strongly agree
8,R_T8eao4gHnYcR1U5,10,10,10,10,Everyday,10,5,10,10,No,No,0-10,5,Yes,Both Parents,Goa,55,Yes,Konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
9,R_2zjUk7sG9wwRrqN,8,9,8,8,A few times a month,0,1,5,0,No,No,50-100,4,No,Both Parents,India,30,Yes,"English, Hindi, Konkani, Marathi",Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
10,R_Q0bD747H6vqlSDf,7,9,7,8,A few times a week,1,1,4,0,Yes,Yes,200,5,Yes,Both Parents,Goa,23,Yes,Konkani,Catholic,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
11,R_3maUMkIwJpkwM7P,10,10,10,10,A few times a week,0,6,7,0,Yes,No,50-100,9,No,Both Parents,Goa,48,Yes,"English, Konkani, Portuguese,",Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
12,R_1eDI75x1cLw2Fs1,10,10,8,8,A few times a month,1,NA,NA,NA,Yes,Yes,200,1,Yes,Both Parents,India,19,Yes,English,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
13,R_3LifKABtQ5YCZ3h,10,10,9,10,Everyday,10,10,10,3,Yes,Yes,200,10,Yes,Both Parents,Goa,40,Yes,"English, Konkani",Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
14,R_12anBMcISFa7veb,3,5,1,1,Never,0,0,0,0,Unsure,No,0-10,1,No,Both Parents,Goa,39,Yes,Portuguese,Other,Some college or postsecondary training,Somewhat agree,Somewhat agree,Strongly agree
15,R_3Ey9hy72VzaKzfy,10,10,10,10,Everyday,10,10,10,10,Yes,Yes,200,10,Yes,Both Parents,Goa,20,Yes,"English, Konkani",Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
